sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Chelonia mydas,2017-05-11,24.605,53.069,NA,2,27.91,38.67,Green
Chelonia mydas,2016-11-29,25.232,64.058,NA,7,26.22,36.6,Green
Caretta caretta,2012-06-01,18.11332,58.42858,Juvenile,3428,26.65,36.2,Loggerhead
Chelonia mydas,2017-05-07,24.631,52.832,NA,15,27.83,38.59,Green
Caretta caretta,2011-04-05,15.41561,53.84511,Juvenile,2321,26.9,36.09,Loggerhead
Chelonia mydas,2016-09-04,25.786,55.954,NA,2,NA,NA,Green
Caretta caretta,2011-11-09,0.13934,44.89263,Juvenile,3386,27.15,35.34,Loggerhead
Chelonia mydas,2018-05-19,24.537,53.152,NA,7,27.94,38.67,Green
Chelonia mydas,2017-06-12,24.633,53.032,NA,3,27.91,38.67,Green
Caretta caretta,2011-11-27,0.85574,53.19603,Juvenile,5095,28.16,35.37,Loggerhead
Chelonia mydas,2017-02-08,24.172,53.216,NA,11,27.99,38.65,Green
Caretta caretta,2011-04-17,13.35935,52.57028,Juvenile,2212,26.79,35.98,Loggerhead
Caretta caretta,2011-12-22,3.90536,47.51307,Juvenile,15,26.66,35.32,Loggerhead
Chelonia mydas,2016-12-01,24.304,53.867,NA,9,28.02,38.82,Green
Chelonia mydas,2018-10-03,24.596,53.417,NA,12,28.03,38.78,Green
Chelonia mydas,2018-10-13,24.567,53.372,NA,4,28.02,38.74,Green
Caretta caretta,2012-01-14,8.33361,50.22098,Juvenile,13,26.24,35.57,Loggerhead
Chelonia mydas,2019-06-30,24.599,53.008,NA,5,27.91,38.67,Green
Chelonia mydas,2016-08-15,25.752,55.877,NA,2,28.13,38.64,Green
Chelonia mydas,2017-04-03,24.632,53.036,NA,2,27.91,38.67,Green
Chelonia mydas,2018-03-17,24.66,53.031,NA,10,27.91,38.67,Green
Caretta caretta,2011-05-14,15.37955,55.50136,Juvenile,3013,27.01,36.09,Loggerhead
Chelonia mydas,2018-07-17,24.645,53.046,NA,2,27.91,38.67,Green
Caretta caretta,2012-01-16,11.0435,55.42949,Juvenile,2648,26.97,35.93,Loggerhead
Chelonia mydas,2018-10-06,24.635,53.053,NA,2,27.91,38.67,Green
